STATE,REGION,COUNTY,FIPSCODE,CCBP_RATE_SOGS_PER_1000,ACS_PER_CAPITA_INCOME,ACS_PCT_PERSON_INC99
Alabama,South,Autauga County,1001,0.07741789552,25089.25,12.52075
Alabama,South,Baldwin County,1003,0.1467626015,27250.75,13.531
Alabama,South,Barbour County,1005,0.169922898,17063,25.9605
Alabama,South,Bibb County,1007,0.2216658386,18239,17.10775
Alabama,South,Blount County,1009,0.09991779605,20699,16.5875
Alabama,South,Bullock County,1011,0.2145576408,17955.75,23.40275
Alabama,South,Butler County,1013,0.1484171161,18229.75,26.34725
Alabama,South,Calhoun County,1015,0.2355360551,21434.75,20.93875
Alabama,South,Chambers County,1017,0.2061026303,20783.5,22.48375
Alabama,South,Cherokee County,1019,0.1934048019,22154.75,19.4715
Alabama,South,Chilton County,1021,0.1429313745,21465.75,19.429
Alabama,South,Choctaw County,1023,0.245140918,20779.75,21.8345
Alabama,South,Clarke County,1025,0.2223893063,19902,26.431
Alabama,South,Clay County,1027,0.2236598352,19417.75,17.75625
Alabama,South,Cleburne County,1029,0.1338625231,19696.5,18.297
Alabama,South,Coffee County,1031,0.1178841214,24461.25,17.69275
Alabama,South,Colbert County,1033,0.1560337853,22299.75,17.52725
Alabama,South,Conecuh County,1035,0.1178843748,15754.5,32.98425
Alabama,South,Coosa County,1037,0.09083736207,17960.25,18.87775
Alabama,South,Covington County,1039,0.1792929678,21011.75,19.824
Alabama,South,Crenshaw County,1041,0.3065363242,20687.25,17.77275
Alabama,South,Cullman County,1043,0.1963910616,20946.75,18.11875
Alabama,South,Dale County,1045,0.1464550564,22613.25,18.92525
Alabama,South,Dallas County,1047,0.1945333696,17569.5,35.17825
Alabama,South,Dekalb County,1049,0.2041486542,18415.25,19.616
Alabama,South,Elmore County,1051,0.1114430329,24298.25,13.563
Alabama,South,Escambia County,1053,0.1194570366,16919.5,25.2355
Alabama,South,Etowah County,1055,0.1355393231,20609,19.1625
Alabama,South,Fayette County,1057,0.2541240729,19320,19.08
Alabama,South,Franklin County,1059,0.2693165703,18558.75,22.7375
Alabama,South,Geneva County,1061,0.3853313023,20159.75,22.46075
Alabama,South,Greene County,1063,0.2331204038,14044,36.90375
Alabama,South,Hale County,1065,0.1991081493,18939.75,26.79975
Alabama,South,Henry County,1067,0.1754389093,22590.5,15.01725
Alabama,South,Houston County,1069,0.1585548693,23704.75,18.39325
Alabama,South,Jackson County,1071,0.2097630311,20273.5,17.748
Alabama,South,Jefferson County,1073,0.162878524,27301,18.3925
Alabama,South,Lamar County,1075,0.2493293924,19614,23.21825
Alabama,South,Lauderdale County,1077,0.2051138793,24148.25,18.0145
Alabama,South,Lawrence County,1079,0.1123666585,21138.5,17.924
Alabama,South,Lee County,1081,0.1124446726,24234.75,23.11525
Alabama,South,Limestone County,1083,0.1044498617,25583.25,14.28275
Alabama,South,Lowndes County,1085,0.2154685132,18319.25,28.294
Alabama,South,Macon County,1087,0.2176384579,17424.5,26.26975
Alabama,South,Madison County,1089,0.123697382,32408.75,13.30725
Alabama,South,Marengo County,1091,0.1511606992,21607.75,25.735
Alabama,South,Marion County,1093,0.09961341532,20185.25,19.74625
Alabama,South,Marshall County,1095,0.2299569565,21121.75,20.009
Alabama,South,Mobile County,1097,0.1435975798,22945.25,19.60775
Alabama,South,Monroe County,1099,0.2403630487,16110.25,30.318
Alabama,South,Montgomery County,1101,0.1527113771,25364.25,21.76625
Alabama,South,Morgan County,1103,0.1445790858,24212.5,15.80925
Alabama,South,Perry County,1105,0.3585235691,13885.25,34.7825
Alabama,South,Pickens County,1107,0.210775671,17902,25.4135
Alabama,South,Pike County,1109,0.1867491367,19683.5,26.678
Alabama,South,Randolph County,1111,0.133338454,19525.25,22.2205
Alabama,South,Russell County,1113,0.1912146982,19993,21.677
Alabama,South,St. Clair County,1115,0.1591037454,24094.25,15.25325
Alabama,South,Shelby County,1117,0.1300817001,33514.75,8.349
Alabama,South,Sumter County,1119,0.2078654716,13753.5,38.977
Alabama,South,Talladega County,1121,0.1046653464,19643,22.53725
Alabama,South,Tallapoosa County,1123,0.1593996645,21263.75,21.68075
Alabama,South,Tuscaloosa County,1125,0.1164835113,23195.25,18.592
Alabama,South,Walker County,1127,0.1497113384,20463.5,22.092
Alabama,South,Washington County,1129,0.1489146008,20118.25,18.75325
Alabama,South,Wilcox County,1131,0.638373186,14057.5,38.0855
Alabama,South,Winston County,1133,0.2806263627,19045,22.201
Alaska,West,Aleutians East Borough,2013,1.191822368,28322.5,16.34
Alaska,West,Aleutians West Census Area,2016,0.6069421136,32831.75,8.699
Alaska,West,Anchorage Municipality,2020,0.1103832889,36876.5,8.12225
Alaska,West,Bethel Census Area,2050,1.240110429,18337.25,24.56
Alaska,West,Bristol Bay Borough,2060,2.16116653,38430.75,7.3825
Alaska,West,Dillingham Census Area,2070,1.104278289,22262.25,17.6845
Alaska,West,Fairbanks North Star Borough,2090,0.07243275325,33118.75,8.0705
Alaska,West,Haines Borough,2100,1.181157658,32495.75,6.51925
Alaska,West,Hoonah-Angoon Census Area,2105,1.889753086,30502.75,13.534
Alaska,West,Juneau City And Borough,2110,0.1613753398,39046.5,6.65475
Alaska,West,Kenai Peninsula Borough,2122,0.3116188876,31740,9.71175
Alaska,West,Ketchikan Gateway Borough,2130,0.2912664124,31949.5,11.1445
Alaska,West,Kodiak Island Borough,2150,0.3245322506,30319.5,10.90525
Alaska,West,Lake And Peninsula Borough,2164,0.9209709593,22230.5,18.67675
Alaska,West,Matanuska-Susitna Borough,2170,0.1027796864,29884.5,9.937
Alaska,West,Nome Census Area,2180,1.770727916,19939.75,27.34325
Alaska,West,North Slope Borough,2185,0.8450070815,49447.75,10.489
Alaska,West,Northwest Arctic Borough,2188,0.9369159586,21283.25,23.3
Alaska,West,Petersburg Borough,2195,0.9185028166,35040.5,10.58475
Alaska,West,Prince Of Wales-Hyder Census Area,2198,0.8098275671,25021.75,15.05075
Alaska,West,Sitka City And Borough,2220,0.4251218876,33996.5,9.0295
Alaska,West,Skagway Municipality,2230,1.862967673,39058.25,4.9155
Alaska,West,Southeast Fairbanks Census Area,2240,0.5082969581,30168.75,13.7525
Alaska,West,Valdez-Cordova Census Area,2261,0.8448388671,33484.75,9.36475
Alaska,West,Wrangell City And Borough,2275,0.913395262,29754,10.2985
Alaska,West,Yakutat City And Borough,2282,3.135802973,33008.75,5.99825
Alaska,West,Yukon-Koyukuk Census Area,2290,1.733151726,20347,23.5605
Arizona,West,Apache County,4001,0.1187419116,12994,36.221
Arizona,West,Cochise County,4003,0.1374718491,23605.75,17.8625
Arizona,West,Coconino County,4005,0.1481310847,23965,22.913
Arizona,West,Gila County,4007,0.1271528635,20925.5,21.96375
Arizona,West,Graham County,4009,0.1587375505,17511.5,22.2905
Arizona,West,Greenlee County,4011,0.2136201147,22155.5,14.4325
Arizona,West,La Paz County,4012,0.3165121691,21464.5,19.515
Arizona,West,Maricopa County,4013,0.1177428223,27839,16.8165
Arizona,West,Mohave County,4015,0.09310549231,21135.5,19.60775
Arizona,West,Navajo County,4017,0.1299507157,16507.75,30.37025
Arizona,West,Pima County,4019,0.1266603366,25681.5,19.1465
Arizona,West,Pinal County,4021,0.07421822228,21251.25,16.555
Arizona,West,Santa Cruz County,4023,0.1877165586,18054.75,24.01425
Arizona,West,Yavapai County,4025,0.1403047197,25564,15.64425
Arizona,West,Yuma County,4027,0.1539025853,19078,20.527
Arkansas,South,Arkansas County,5001,0.2033031803,23010.5,18.29925
Arkansas,South,Ashley County,5003,0.1430651568,19920.25,19.84975
Arkansas,South,Baxter County,5005,0.1644651638,22142.5,15.0335
Arkansas,South,Benton County,5007,0.1344538972,27791.75,11.87675
Arkansas,South,Boone County,5009,0.1478462841,21793.25,17.14425
Arkansas,South,Bradley County,5011,0.2266677794,20086.5,29.6405
Arkansas,South,Carroll County,5015,0.1801673372,20581,18.11975
Arkansas,South,Chicot County,5017,0.3150310695,18438.75,32.00375
Arkansas,South,Clark County,5019,0.07753422801,18931,23.934
Arkansas,South,Clay County,5021,0.2621111212,18825.25,21.15975
Arkansas,South,Cleburne County,5023,0.2849840046,24332.75,15.43525
Arkansas,South,Cleveland County,5025,0.2094854834,21419.5,19.30725
Arkansas,South,Columbia County,5027,0.1243880179,19824.75,25.7025
Arkansas,South,Conway County,5029,0.1907218245,21393.75,22.69525
Arkansas,South,Craighead County,5031,0.2026296315,23424.75,20.304
Arkansas,South,Crawford County,5033,0.1211594457,20329.75,19.075
Arkansas,South,Crittenden County,5035,0.1821177786,19803,25.23625
Arkansas,South,Cross County,5037,0.1739771738,19463.75,19.14875
Arkansas,South,Dallas County,5039,0.3265272845,17692.5,16.1235
Arkansas,South,Desha County,5041,0.3286175445,18558.5,31.556
Arkansas,South,Drew County,5043,0.1073919219,17586,28.5275
Arkansas,South,Faulkner County,5045,0.09721188685,24629,15.3135
Arkansas,South,Franklin County,5047,0.1124465339,19629.25,20.876
Arkansas,South,Fulton County,5049,0.08249530694,19196.75,20.58975
Arkansas,South,Garland County,5051,0.1685888596,23839,21.06075
Arkansas,South,Grant County,5053,0.1384828518,23421.5,11.51475
Arkansas,South,Greene County,5055,0.1419280527,20543,17.6035
Arkansas,South,Hempstead County,5057,0.1461972486,17526,26.8425
Arkansas,South,Hot Spring County,5059,0.1792760791,19645.75,16.208
Arkansas,South,Howard County,5061,0.1675809384,20727,21.41825
Arkansas,South,Independence County,5063,0.1822986411,20697,21.96325
Arkansas,South,Izard County,5065,0.3152551504,18662.25,20.1125
Arkansas,South,Jackson County,5067,0.1715270893,16895.5,27.17225
Arkansas,South,Jefferson County,5069,0.2222224435,19694,24.846
Arkansas,South,Johnson County,5071,0.04804371608,19142.75,21.1865
Arkansas,South,Lafayette County,5073,0.2104538603,19998.5,25.2265
Arkansas,South,Lawrence County,5075,0.2371969889,17089.25,24.1325
Arkansas,South,Lee County,5077,0.1030071148,13604,29.667
Arkansas,South,Lincoln County,5079,0.07184312632,14127.75,25.00575
Arkansas,South,Little River County,5081,0.1598776032,20012,17.2905
Arkansas,South,Logan County,5083,0.09158011328,19877.75,18.25175
Arkansas,South,Lonoke County,5085,0.1016793343,23653.25,12.75175
Arkansas,South,Madison County,5087,0.1902180926,20503.5,20.587
Arkansas,South,Marion County,5089,0.1833292009,18025.5,19.092
Arkansas,South,Miller County,5091,0.1605849818,20952.5,20.093
Arkansas,South,Mississippi County,5093,0.2561521252,18967.25,25.9655
Arkansas,South,Monroe County,5095,0.4005124549,17957.25,30.108
Arkansas,South,Montgomery County,5097,0.1099792203,19517.25,19.7875
Arkansas,South,Nevada County,5099,0.1166423883,17955.25,28.695
Arkansas,South,Newton County,5101,0.3788976745,17959.75,21.51225
Arkansas,South,Ouachita County,5103,0.2039727693,19544,23.41475
Arkansas,South,Perry County,5105,0.1453756891,22345.75,15.717
Arkansas,South,Phillips County,5107,0.341612054,17015.5,33.7885
Arkansas,South,Pike County,5109,0.3655667423,19013,21.9075
Arkansas,South,Poinsett County,5111,0.2179911456,17235.25,24.44475
Arkansas,South,Polk County,5113,0.1852942707,18907.25,23.61025
Arkansas,South,Pope County,5115,0.1184298774,20335.5,19.41875
Arkansas,South,Prairie County,5117,0.3605641379,19369.5,20.663
Arkansas,South,Pulaski County,5119,0.1526666674,27762.25,17.428
Arkansas,South,Randolph County,5121,0.2425670028,19367.25,21.0515
Arkansas,South,St. Francis County,5123,0.2688433632,16024.5,26.366
Arkansas,South,Saline County,5125,0.0995026578,26288.5,8.812
Arkansas,South,Scott County,5127,0.2353175844,18306.5,20.11525
Arkansas,South,Searcy County,5129,0.3469800726,18368,23.4205
Arkansas,South,Sebastian County,5131,0.1474488543,23388.75,22.28325
Arkansas,South,Sevier County,5133,0.2756063472,16779,22.8825
Arkansas,South,Sharp County,5135,0.1773172082,17468,23.299
Arkansas,South,Stone County,5137,0.1609717656,18987,25.117
Arkansas,South,Union County,5139,0.1618216175,21662,20.966
Arkansas,South,Van Buren County,5141,0.08909418406,19109.75,22.65325
Arkansas,South,Washington County,5143,0.1596792273,24292.25,20.112
Arkansas,South,White County,5145,0.152444944,22245.5,18.0635
Arkansas,South,Woodruff County,5147,0.36795081,18285.5,24.48825
Arkansas,South,Yell County,5149,0.1040151058,18107.75,19.68875
California,West,Alameda County,6001,0.2305770787,37132.25,12.4745
California,West,Amador County,6005,0.3313769476,27422.25,12.368
California,West,Butte County,6007,0.2087109118,24388.25,21.26625
California,West,Calaveras County,6009,0.2561750033,29688.75,12.0995
California,West,Colusa County,6011,0.4579419419,22858,13.864
California,West,Contra Costa County,6013,0.1790114563,39273.5,10.55625
California,West,Del Norte County,6015,0.2462463419,19584.5,21.9515
California,West,El Dorado County,6017,0.1836938385,35672.25,9.8905
California,West,Fresno County,6019,0.2565347072,20476,26.77225
California,West,Glenn County,6021,0.2966676254,21380.25,19.9565
California,West,Humboldt County,6023,0.331247244,23615.25,20.881
California,West,Imperial County,6025,0.1891868506,16406.5,23.68475
California,West,Inyo County,6027,0.2753456183,27749.25,12.1475
California,West,Kern County,6029,0.2164809949,20625,23.23325
California,West,Kings County,6031,0.1952346674,18694.25,21.97825
California,West,Lake County,6033,0.3554633023,21513.25,24.6495
California,West,Lassen County,6035,0.2304704121,19781,16.62875
California,West,Los Angeles County,6037,0.203278567,28343.5,18.062
California,West,Madera County,6039,0.2433243868,18158.75,22.87825
California,West,Marin County,6041,0.2681868958,59659.75,8.233
California,West,Mariposa County,6043,0.4949865042,27865.75,15.9395
California,West,Mendocino County,6045,0.5363284033,24088.75,20.192
California,West,Merced County,6047,0.2461029354,18493.75,25.34075
California,West,Modoc County,6049,0.5241588129,21482.5,19.424
California,West,Mono County,6051,0.4067220968,29530,6.78125
California,West,Monterey County,6053,0.2646154672,25191,16.81925
California,West,Napa County,6055,0.293794449,36104.75,9.86525
California,West,Nevada County,6057,0.2766303652,32572.5,12.29375
California,West,Orange County,6059,0.1669551039,34807.25,12.6315
California,West,Placer County,6061,0.1756250618,36133.25,8.82475
California,West,Plumas County,6063,0.5227769079,30276.75,14.58625
California,West,Riverside County,6065,0.1535380545,23869.25,16.58275
California,West,Sacramento County,6067,0.1853274382,27354.25,17.929
California,West,San Benito County,6069,0.1635945535,26829.5,11.41425
California,West,San Bernardino County,6071,0.1500947145,21481.25,19.11125
California,West,San Diego County,6073,0.1886668492,31364.75,14.40175
California,West,San Francisco County,6075,0.4192714983,51564.75,13.10825
California,West,San Joaquin County,6077,0.2193169146,22838.25,18.47775
California,West,San Luis Obispo County,6079,0.2635051347,30935.25,14.5015
California,West,San Mateo County,6081,0.2322875519,47867.5,7.70975
California,West,Santa Barbara County,6083,0.2932169481,30641.25,16.213
California,West,Santa Clara County,6085,0.1854771307,43523.25,9.7285
California,West,Santa Cruz County,6087,0.2630083429,33329.5,15.00675
California,West,Shasta County,6089,0.207249991,24158.5,17.73875
California,West,Siskiyou County,6093,0.4264830853,22719.5,22.20325
California,West,Solano County,6095,0.1640362383,29374.25,13.039
California,West,Sonoma County,6097,0.2765368202,34017.5,11.77725
California,West,Stanislaus County,6099,0.2553007599,22057.25,19.795
California,West,Sutter County,6101,0.2314661256,23863.5,17.209
California,West,Tehama County,6103,0.1704450191,21056.25,19.88475
California,West,Trinity County,6105,0.7424758601,22853,19.39625
California,West,Tulare County,6107,0.2604113609,17978.75,27.487
California,West,Tuolumne County,6109,0.2788094778,27122.75,14.3315
California,West,Ventura County,6111,0.205440574,33501,10.98225
California,West,Yolo County,6113,0.198205636,28230.5,19.59675
California,West,Yuba County,6115,0.1523816686,20179.75,21.624
Colorado,West,Adams County,8001,0.131603913,24988,13.75375
Colorado,West,Alamosa County,8003,0.2518328576,19156.25,28.6685
Colorado,West,Arapahoe County,8005,0.1505429439,33902.25,11.40525
Colorado,West,Archuleta County,8007,0.2619238192,28958,10.91675
Colorado,West,Baca County,8009,0.2792218867,22087.5,17.47425
Colorado,West,Bent County,8011,0.3008723538,14449.75,22.0905
Colorado,West,Boulder County,8013,0.1863656091,38926.5,14.071
Colorado,West,Broomfield County,8014,0.1069587495,39495.25,6.4645
Colorado,West,Chaffee County,8015,0.3757881281,27640.25,8.77325
Colorado,West,Cheyenne County,8017,1.080897851,23632.75,8.9525
Colorado,West,Clear Creek County,8019,0.1088781248,42332.25,8.82325
Colorado,West,Conejos County,8021,0.3687667044,18157,19.599
Colorado,West,Costilla County,8023,0.5568253571,20845.25,25.32575
Colorado,West,Crowley County,8025,0.1830596035,13042,31.22125
Colorado,West,Custer County,8027,0.3979131665,24149.25,16.927
Colorado,West,Delta County,8029,0.2073183338,24509.75,16.20925
Colorado,West,Denver County,8031,0.1778963701,34877,17.80125
Colorado,West,Dolores County,8033,0.4972194226,21433.5,18.944
Colorado,West,Douglas County,8035,0.08107726872,45075.25,3.92
Colorado,West,Eagle County,8037,0.3312246554,38912.25,9.53025
Colorado,West,Elbert County,8039,0.04111081415,37469.75,6.46
Colorado,West,El Paso County,8041,0.0891775086,29525.25,12.00025
Colorado,West,Fremont County,8043,0.1184975265,19040.25,17.28875
Colorado,West,Garfield County,8045,0.1778740472,27594.5,11.691
Colorado,West,Gilpin County,8047,0.1757003143,37919.33333,9.534
Colorado,West,Grand County,8049,0.3578991948,31794.25,11.12975
Colorado,West,Gunnison County,8051,0.3448968143,26557,16.9225
Colorado,West,Hinsdale County,8053,2.557689106,34046.25,7.93875
Colorado,West,Huerfano County,8055,0.6193479358,24006.75,19.0165
Colorado,West,Jackson County,8057,1.285874241,26622.5,12.2775
Colorado,West,Jefferson County,8059,0.1094999294,36986.5,8.515
Colorado,West,Kiowa County,8061,1.455364161,22247,13.99275
Colorado,West,Kit Carson County,8063,0.4972611574,22319,14.99475
Colorado,West,Lake County,8065,0.270238486,25529.75,12.39675
Colorado,West,La Plata County,8067,0.2165754713,31485.5,10.9355
Colorado,West,Larimer County,8069,0.1089806559,31389.75,13.63925
Colorado,West,Las Animas County,8071,0.2829161601,23084.25,15.84125
Colorado,West,Lincoln County,8073,0.4086128889,16677.5,15.90725
Colorado,West,Logan County,8075,0.1005079078,23430.5,16.93175
Colorado,West,Mesa County,8077,0.1367906727,26629.5,15.6015
Colorado,West,Mineral County,8079,1.363353027,35968,7.2735
Colorado,West,Moffat County,8081,0.15343317,25042,11.38775
Colorado,West,Montezuma County,8083,0.2240124877,23341.75,18.56125
Colorado,West,Montrose County,8085,0.2149997527,23181.25,17.55875
Colorado,West,Morgan County,8087,0.2305246817,21871.5,11.993
Colorado,West,Otero County,8089,0.1774930024,19254,24.61575
Colorado,West,Ouray County,8091,0.6481023204,33490.5,7.482
Colorado,West,Park County,8093,0.25573042,32379.5,7.7255
Colorado,West,Phillips County,8095,0.8065156816,23743.25,16.401
Colorado,West,Pitkin County,8097,0.4225738718,55250.75,9.345
Colorado,West,Prowers County,8099,0.2278305201,19664,21.18175
Colorado,West,Pueblo County,8101,0.1046157357,22197.75,19.59175
Colorado,West,Rio Blanco County,8103,0.152696124,27513.75,15.38375
Colorado,West,Rio Grande County,8105,0.3047947764,21712,19.4255
Colorado,West,Routt County,8107,0.3620933886,35764,9.94375
Colorado,West,Saguache County,8109,0.7564497171,21090.5,23.947
Colorado,West,San Juan County,8111,1.437034475,25801.75,13.498
Colorado,West,San Miguel County,8113,0.8015077967,39417.5,11.02875
Colorado,West,Sedgwick County,8115,0.4234684024,22691,15.88625
Colorado,West,Summit County,8117,0.3371592569,35291.25,13.4025
Colorado,West,Teller County,8119,0.1698135952,32436,7.30825
Colorado,West,Washington County,8121,0.2094825689,24966,12.02825
Colorado,West,Weld County,8123,0.1072172517,26496.5,13.41975
Colorado,West,Yuma County,8125,0.420649113,23137.75,11.85725
Connecticut,Northeast,Fairfield County,9001,0.2244642054,50066.25,9.014
Connecticut,Northeast,Hartford County,9003,0.2764076607,35546.5,11.80025
Connecticut,Northeast,Litchfield County,9005,0.2273972516,38188,6.803
Connecticut,Northeast,Middlesex County,9007,0.2023130256,41107.75,6.75275
Connecticut,Northeast,New Haven County,9009,0.236665689,32968.75,12.717
Connecticut,Northeast,New London County,9011,0.1496466516,34440.5,9.3905
Connecticut,Northeast,Tolland County,9013,0.1055460054,35306,6.72075
Connecticut,Northeast,Windham County,9015,0.1885607289,28185,11.184
Delaware,South,Kent County,10001,0.1481737536,25408,13.12075
Delaware,South,New Castle County,10003,0.1684952032,32789,11.1795
Delaware,South,Sussex County,10005,0.2283387302,28211,13.05025
Florida,South,Alachua County,12001,0.1551208106,25283.25,24.70425
Florida,South,Baker County,12003,0.1826410825,20472.75,18.15375
Florida,South,Bay County,12005,0.157301595,25094,15.0675
Florida,South,Bradford County,12007,0.140406436,18970,19.3565
Florida,South,Brevard County,12009,0.1445984679,27532.25,13.867
Florida,South,Broward County,12011,0.2017824322,28475.5,14.45025
Florida,South,Calhoun County,12013,0.2249588953,15808.5,19.57675
Florida,South,Charlotte County,12015,0.1202211883,26876,12.46875
Florida,South,Citrus County,12017,0.1248528866,23702.5,17.31825
Florida,South,Clay County,12019,0.1070566579,26672.25,10.25425
Florida,South,Collier County,12021,0.175700818,37897,13.91975
Florida,South,Columbia County,12023,0.1173758651,20407,19.747
Florida,South,Desoto County,12027,0.1477402749,15958.75,30.17375
Florida,South,Dixie County,12029,0.200343092,17536.25,19.73375
Florida,South,Duval County,12031,0.186781338,26547,17.0775
Florida,South,Escambia County,12033,0.1513713627,24037,16.4385
Florida,South,Flagler County,12035,0.1502417593,24641,15.2675
Florida,South,Franklin County,12037,0.4926855366,20628.25,21.12375
Florida,South,Gadsden County,12039,0.1952773362,17934.25,26.60475
Florida,South,Gilchrist County,12041,0.1740889893,20943,23.923
Florida,South,Glades County,12043,0.07676003194,16904.5,22.564
Florida,South,Gulf County,12045,0.2347913049,19409.5,15.59775
Florida,South,Hamilton County,12047,0.1403880518,15504.75,27.088
Florida,South,Hardee County,12049,0.3578798872,16156.5,28.554
Florida,South,Hendry County,12051,0.2834606778,16880.25,26.549
Florida,South,Hernando County,12053,0.1269759708,21669.25,15.75775
Florida,South,Highlands County,12055,0.1330910321,20890,19.5305
Florida,South,Hillsborough County,12057,0.2058207544,27793,16.83925
Florida,South,Holmes County,12059,0.1543199844,17028.25,26.05425
Florida,South,Indian River County,12061,0.1899274427,31427.75,14.7465
Florida,South,Jackson County,12063,0.1593362875,17388.5,21.555
Florida,South,Jefferson County,12065,0.2130013349,21136.75,16.49775
Florida,South,Lafayette County,12067,0.1137960289,18882.5,20.494
Florida,South,Lake County,12069,0.123391641,24320.5,13.86575
Florida,South,Lee County,12071,0.1640900296,27971.25,15.78175
Florida,South,Leon County,12073,0.1379820274,26598.5,22.648
Florida,South,Levy County,12075,0.2465418609,19703.25,22.94825
Florida,South,Liberty County,12077,0.3583915199,16846,19.87225
Florida,South,Madison County,12079,0.1754998958,15990.5,24.70725
Florida,South,Manatee County,12081,0.1455590861,28092,14.88475
Florida,South,Marion County,12083,0.1614275771,21952.25,18.25425
Florida,South,Martin County,12085,0.2167042721,34968.5,12.22325
Florida,South,Miami-Dade County,12086,0.245876744,23743,20.18475
Florida,South,Monroe County,12087,0.323871584,35344.25,13.451
Florida,South,Nassau County,12089,0.1259716926,29514.5,12.68975
Florida,South,Okaloosa County,12091,0.1261254266,29046.75,13.07925
Florida,South,Okeechobee County,12093,0.2444499782,17494.5,26.959
Florida,South,Orange County,12095,0.1797999724,25387.5,17.4655
Florida,South,Osceola County,12097,0.1621569763,19162.5,18.79375
Florida,South,Palm Beach County,12099,0.1906564884,33606.5,14.365
Florida,South,Pasco County,12101,0.1368213926,24373,13.936
Florida,South,Pinellas County,12103,0.2129668385,30021,14.223
Florida,South,Polk County,12105,0.1382349075,21326.75,18.15475
Florida,South,Putnam County,12107,0.1732398048,18401.75,27.148
Florida,South,St. Johns County,12109,0.128627763,37481.5,9.447
Florida,South,St. Lucie County,12111,0.1364877881,23617,18.241
Florida,South,Santa Rosa County,12113,0.08491799288,27612.5,12.267
Florida,South,Sarasota County,12115,0.2220546908,33825.5,11.50675
Florida,South,Seminole County,12117,0.1448749534,29201,11.77075
Florida,South,Sumter County,12119,0.1117077507,29528.75,10.95225
Florida,South,Suwannee County,12121,0.1372015082,18823,23.586
Florida,South,Taylor County,12123,0.1334868326,16421.25,14.9655
Florida,South,Volusia County,12127,0.1310985518,24169.25,17.12925
Florida,South,Wakulla County,12129,0.1033377386,21621.75,14.24075
Florida,South,Walton County,12131,0.153041479,26891.75,17.51325
Florida,South,Washington County,12133,0.1022633475,17934.5,20.40725
Georgia,South,Appling County,13001,0.08141575507,19467,21.72775
Georgia,South,Atkinson County,13003,0.3026536995,17052.5,29.5845
Georgia,South,Bacon County,13005,0.1783469906,18328.75,18.899
Georgia,South,Baker County,13007,0.3075195242,20778.75,23.22525
Georgia,South,Baldwin County,13009,0.1476875631,18740.5,30.793
Georgia,South,Barrow County,13013,0.1858775038,21488.25,14.211
Georgia,South,Bartow County,13015,0.1347763465,22176.25,15.9785
Georgia,South,Ben Hill County,13017,0.1438297602,15082,36.15275
Georgia,South,Berrien County,13019,0.3163838498,16743.5,24.89325
Georgia,South,Bibb County,13021,0.2271877836,21506,26.69125
Georgia,South,Bleckley County,13023,0.2156579143,19590.25,23.90675
Georgia,South,Brantley County,13025,0.1906124863,17077,21.26475
Georgia,South,Brooks County,13027,0.1917893629,19572.75,26.03825
Georgia,South,Bryan County,13029,0.2040884443,27871.75,12.77725
Georgia,South,Bulloch County,13031,0.1506683986,18849,32.224
Georgia,South,Burke County,13033,0.1764512945,17261.75,32.27925
Georgia,South,Butts County,13035,0.1067583756,19872.5,18.4235
Georgia,South,Calhoun County,13037,0.1539035864,15324.5,38.32975
Georgia,South,Camden County,13039,0.1008601345,23689.5,13.8785
Georgia,South,Candler County,13043,0.3674248633,17391,29.09525
Georgia,South,Carroll County,13045,0.2166658434,21483.25,19.6745
Georgia,South,Catoosa County,13047,0.1142284673,22645.25,12.84475
Georgia,South,Charlton County,13049,0.1531607436,17854.25,18.857
Georgia,South,Chatham County,13051,0.190484665,25905.75,18.8865
Georgia,South,Chattahoochee County,13053,0.08931520113,19693.75,11.68825
Georgia,South,Chattooga County,13055,0.2709176582,16422.75,23.475
Georgia,South,Cherokee County,13057,0.1537324413,30627.75,10.24425
Georgia,South,Clarke County,13059,0.2023024036,19524.75,36.07125
Georgia,South,Clay County,13061,0.6574831846,12937.75,43.07175
Georgia,South,Clayton County,13063,0.1885100321,18214.75,24.54825
Georgia,South,Clinch County,13065,0.2212722224,17527.5,33.52175
Georgia,South,Cobb County,13067,0.1463661907,33789,12.474
Georgia,South,Coffee County,13069,0.1803984733,17356.75,25.06425
Georgia,South,Colquitt County,13071,0.2899248176,17206.75,26.53275
Georgia,South,Columbia County,13073,0.1374864617,30741.75,9.15175
Georgia,South,Cook County,13075,0.2479735522,18451,24.90625
Georgia,South,Coweta County,13077,0.138828349,28023.5,12.7165
Georgia,South,Crawford County,13079,0.0805643497,20862.66667,18.37833333
Georgia,South,Crisp County,13081,0.6182970219,19255.5,32.168
Georgia,South,Dade County,13083,0.2457400358,21748.5,15.34525
Georgia,South,Dawson County,13085,0.1506135454,28564.5,14.73875
Georgia,South,Decatur County,13087,0.2307825568,18432,27.90425
Georgia,South,Dekalb County,13089,0.2055480782,29446,19.21875
Georgia,South,Dodge County,13091,0.2952068293,18063.25,21.00725
Georgia,South,Dougherty County,13095,0.2063108051,19197.75,31.1885
Georgia,South,Douglas County,13097,0.1078825487,23652.75,15.98375
Georgia,South,Early County,13099,0.4069044795,18083.75,29.55025
Georgia,South,Effingham County,13103,0.06638579937,25245.25,10.799
Georgia,South,Elbert County,13105,0.2715889234,19856,19.92475
Georgia,South,Emanuel County,13107,0.1333499326,16950.25,30.07625
Georgia,South,Evans County,13109,0.2562906064,19627.5,27.172
